# Dataset A, B, C
6.6125,   -6.4086,   1.3212
6.6111,   -6.2718,   0.1184
6.4673,   -6.6043,   -0.0470
9.8822,   -2.3807,   1.9679
0.7326,   -3.6220,   -2.9798
2.8148,   2.2783,   4.1809
6.0926,   0.4629,   -0.9153
7.0226,   -0.7279,   5.4265
5.3313,   -4.0290,   -1.6254
3.8390,   -3.6339,   4.2959
8.0078,   -1.7452,   -1.2131
1.2982,   3.5365,   3.1948
3.6755,   -2.2280,   0.6232
4.4494,   -0.6744,   -2.9028
1.3824,   5.6952,   5.8292
4.4772,   -1.7107,   -2.2973
7.7691,   1.9181,   5.3030
4.7957,   -0.6713,   5.1819
5.5360,   -0.4266,   -0.6858
2.8094,   1.4388,   4.0871
6.2605,   0.3602,   -3.0902
1.5326,   2.1065,   -2.6378
0.6908,   -1.2642,   5.4975
5.7794,   -0.5989,   1.3463
7.1009,   -1.5724,   -2.8327
8.2844,   -0.8851,   4.7135
8.7261,   -7.1677,   2.6920
0.9836,   -3.8773,   1.3546
0.4829,   -3.3528,   1.2956
9.2128,   0.8340,   4.3202
0.1592,   -0.4270,   -0.2613
0.4810,   5.2485,   3.1530
2.5435,   4.9270,   3.9960
1.7477,   5.0703,   -1.6136
1.5609,   -0.3160,   2.6716
6.0042,   -3.2230,   1.7429
0.8692,   2.9702,   -2.8540
1.7501,   0.8332,   0.7574
3.0246,   -0.6154,   -0.5530
9.3513,   0.1941,   -0.5671
6.4954,   5.0804,   -0.6277
1.8275,   -3.6251,   0.4693
2.8066,   -4.7748,   3.7658
4.1278,   1.7700,   1.3878
8.6347,   0.1634,   1.3603
9.9453,   3.7025,   4.5510
1.2099,   1.9884,   2.6571
1.1355,   -2.4175,   0.0069
0.2667,   -0.5989,   1.0789
4.0812,   -1.9806,   3.0379
9.3257,   -0.1537,   4.2621
0.6917,   -4.1281,   1.9863
4.4321,   -0.7694,   -0.6263
1.3155,   2.3699,   1.6026
3.2290,   -1.4944,   -3.5741
0.2362,   3.2253,   4.5941
6.3156,   0.0750,   -3.7122
2.9968,   -0.4985,   -0.4378
5.3271,   1.0290,   -3.3474
2.5505,   3.6248,   3.3087
8.8303,   -0.4342,   -1.3796
1.8862,   3.1960,   -2.4818
8.4659,   1.0811,   1.5075
2.4782,   -6.5289,   4.7437
5.1306,   1.6916,   -0.4179
5.0281,   -1.9863,   0.8916
4.6133,   1.9671,   -0.2471
3.3048,   -4.5441,   4.5023
8.8544,   -0.4364,   1.7143
6.8665,   -1.4534,   5.4547
3.9813,   3.5601,   -2.7213
6.9988,   0.0979,   -3.9983
8.9616,   2.3436,   5.6112
8.2767,   -0.1926,   3.4140
1.0644,   -1.5440,   4.9439
2.1583,   -5.2139,   2.0944
1.9341,   4.2373,   2.0287
2.6315,   -0.0966,   1.5262
1.5343,   1.4517,   -0.0155
6.8577,   0.3135,   -2.1993
6.4596,   -3.2849,   -0.6294
5.6555,   3.3325,   -2.0273
8.2328,   2.3310,   1.2624
1.2027,   -1.0382,   -0.4234
6.7924,   1.3342,   5.6555
3.3689,   -2.8782,   5.0606
4.9279,   0.4564,   5.2307
7.3062,   1.4640,   -1.8494
1.4566,   0.2068,   5.2567
0.4618,   -0.9711,   5.0165
1.1371,   2.0609,   1.4894
4.3418,   3.9926,   -2.4780
7.3293,   -3.0758,   -2.5241
2.0916,   1.6296,   1.8755
9.6366,   -2.1444,   -0.6771
9.4824,   -0.3176,   -0.5883
2.7451,   -0.7413,   -0.9834
3.3274,   -0.9828,   -0.5936
4.9140,   1.8972,   0.4419
0.0122,   0.6225,   1.3544
5.2645,   3.0999,   0.2779
2.2790,   0.3066,   -0.9651
8.0345,   -2.3674,   -0.5348
2.1594,   0.7053,   -2.6764
4.9004,   -3.0854,   -0.2739
5.2949,   0.5175,   1.0087
1.9722,   -2.9401,   -3.0347
9.1629,   -0.7895,   1.8211
7.2185,   -7.8201,   2.8819
6.6876,   -0.6820,   -1.7583
4.4771,   4.9260,   -2.3139
0.0610,   4.3165,   0.2812
8.5984,   3.5887,   -0.3470
4.9377,   6.1902,   -1.3245
7.9161,   -2.0517,   -0.0649
1.9556,   -0.4492,   -1.0286
7.8159,   1.5510,   0.0195
3.5141,   -4.4995,   0.6474
7.3785,   3.7147,   0.3037
8.6089,   -0.2423,   0.8392
6.2289,   -5.1137,   3.5294
